,index,pc_code,pc_description,unit,country_code,country_name,quantity,value
0,209,A1,Tea,Ton,599,Unspecified,1.0,0.006049
1,210,A1,Tea,Ton,1213,Kenya,3186.967,5.400802
2,211,A1,Tea,Ton,1395,Tanzania Rep,2.592,0.013705
3,212,A1,Tea,Ton,1417,Uganda,0.194,0.00154
4,213,A1,Tea,Ton,2035,Benin,257.304,1.291079
5,214,A1,Tea,Ton,2050,Burkina Faso,225.881,1.463672
6,215,A1,Tea,Ton,2057,Cameroon,0.3,0.002028
7,216,A1,Tea,Ton,2087,Congo P Rep,47.696,0.139266
8,217,A1,Tea,Ton,2141,Gabon,0.013,6.6e-05
9,218,A1,Tea,Ton,2199,Cote D' Ivoire,37.647,0.234833
10,219,A1,Tea,Ton,2257,Mauritius,4.522,0.035603
11,220,A1,Tea,Ton,2289,Niger,46.804,0.257868
12,221,A1,Tea,Ton,2345,Rwanda,0.01,3e-05
13,222,A1,Tea,Ton,2353,Senegal,394.235,1.643059
14,223,A1,Tea,Ton,2399,Togo,42.466,0.192688
15,224,A1,Tea,Ton,2459,Congo D. Rep.,49.435,0.072893
16,225,A1,Tea,Ton,3011,Angola,0.36,0.00288
17,226,A1,Tea,Ton,3041,Botswana,1.484,0.008365
18,227,A1,Tea,Ton,3102,Djibouti,0.01,6e-05
19,228,A1,Tea,Ton,3143,Gambia,32.386,0.15519
20,229,A1,Tea,Ton,3149,Ghana,709.579,3.087439
21,230,A1,Tea,Ton,3167,Guinea,12.641,0.069522
22,231,A1,Tea,Ton,3229,Liberia,0.5,0.002472
23,232,A1,Tea,Ton,3243,Malawi,0.898,0.003052
24,233,A1,Tea,Ton,3249,Mali,57.404,0.256035
25,234,A1,Tea,Ton,3267,Mozambique,0.615,0.002829
26,235,A1,Tea,Ton,3291,Nigeria,364.494,1.512592
27,236,A1,Tea,Ton,3339,Reunion,2.92,0.011267
28,237,A1,Tea,Ton,3355,Seychelles,3.496,0.017246
29,238,A1,Tea,Ton,3357,Sierra Leone,0.28,0.002066
30,239,A1,Tea,Ton,3385,Swaziland,0.1,0.001467
31,240,A1,Tea,Ton,3461,Zambia,9.328,0.065337
32,241,A1,Tea,Ton,4005,Algeria,74.542,0.143487
33,242,A1,Tea,Ton,4111,Egypt A Rp,3493.122,5.28987
34,243,A1,Tea,Ton,4231,Libya,78.63,0.204974
35,244,A1,Tea,Ton,4265,Morocco,35.829,0.177348
36,245,A1,Tea,Ton,4365,South Africa,41.131,0.23782
37,246,A1,Tea,Ton,4381,Sudan,0.195,0.000958
38,247,A1,Tea,Ton,4407,Tunisia,3605.839,4.016752
39,248,A1,Tea,Ton,4463,Zimbabwe,0.117,0.001282
40,249,A1,Tea,Ton,5059,Canada,2018.694,9.476013
41,250,A1,Tea,Ton,5423,U S A,16468.438,63.170596
42,251,A1,Tea,Ton,6015,Argentina,0.21,0.008006
43,252,A1,Tea,Ton,6043,Brazil,0.539,0.006273
44,253,A1,Tea,Ton,6073,Chile,15.292,0.139074
45,254,A1,Tea,Ton,6083,Colombia,80.025,0.131611
46,255,A1,Tea,Ton,6109,Ecuador,0.384,0.004398
47,256,A1,Tea,Ton,6319,Peru,0.01,3e-05
48,257,A1,Tea,Ton,7171,Guyana,0.03,0.000112
49,258,A1,Tea,Ton,7203,Jamaica,0.276,0.001894
50,259,A1,Tea,Ton,7405,Trinidad,1.799,0.015763
51,260,A1,Tea,Ton,8287,Nicaragua,0.005,0.000541
52,261,A1,Tea,Ton,9065,Cayman Is,0.024,2.6e-05
53,262,A1,Tea,Ton,9259,Mexico,5.275,0.03287
54,263,A1,Tea,Ton,9277,Netherlandantil,3.298,0.013115
55,264,A1,Tea,Ton,9311,Panama Republic,1.092,0.005505
56,265,A1,Tea,Ton,9383,Suriname,55.105,0.177482
57,266,A1,Tea,Ton,10001,Afghanistan,1030.09,1.819195
58,267,A1,Tea,Ton,10017,Australia,3421.182,20.448921
59,268,A1,Tea,Ton,10027,Bangladesh Pr,9136.173,12.301722
60,269,A1,Tea,Ton,10038,Bhutan,13.098,0.079267
61,270,A1,Tea,Ton,10047,Brunei,0.628,0.002089
62,271,A1,Tea,Ton,10056,Cambodia,0.755,0.003954
63,272,A1,Tea,Ton,10077,China P Rp,5223.283,15.316372
64,273,A1,Tea,Ton,10127,Fiji Is,3.837,0.025031
65,274,A1,Tea,Ton,10179,Hong Kong,335.999,2.05433
66,275,A1,Tea,Ton,10187,Indonesia,1697.422,2.437313
67,276,A1,Tea,Ton,10189,Iran,25849.798,105.106076
68,277,A1,Tea,Ton,10205,Japan,3382.587,22.526808
69,278,A1,Tea,Ton,10217,Korea Rp,96.914,0.951627
70,279,A1,Tea,Ton,10245,Malaysia,3172.028,5.221754
71,280,A1,Tea,Ton,10258,Myanmar,0.01,3e-05
72,281,A1,Tea,Ton,10261,Mongolia,2.852,0.026887
73,282,A1,Tea,Ton,10273,Nepal,142.426,0.477277
74,283,A1,Tea,Ton,10285,New Zealand,151.588,0.801578
75,284,A1,Tea,Ton,10309,Pakistan Ir,19417.221,30.245571
76,285,A1,Tea,Ton,10323,Philippines,370.207,2.750386
77,286,A1,Tea,Ton,10359,Singapore,568.551,2.438023
78,287,A1,Tea,Ton,10369,Sri Lanka Dsr,2018.66,4.488535
79,288,A1,Tea,Ton,10397,Thailand,118.298,0.904
80,289,A1,Tea,Ton,10437,Vietnam Soc Rep,294.744,0.827133
81,290,A1,Tea,Ton,11025,Baharain Is,396.324,1.786924
82,291,A1,Tea,Ton,11191,Iraq,199.905,0.351427
83,292,A1,Tea,Ton,11207,Jordan,102.998,0.267094
84,293,A1,Tea,Ton,11219,Kuwait,832.217,3.4876
85,294,A1,Tea,Ton,11225,Lebanon,4.0,0.036133
86,295,A1,Tea,Ton,11301,Oman,374.838,1.671859
87,296,A1,Tea,Ton,11335,Qatar,515.771,2.41658
88,297,A1,Tea,Ton,11351,Saudi Arab,3549.33,14.079893
89,298,A1,Tea,Ton,11391,Syria,13.2,0.052318
90,299,A1,Tea,Ton,11419,U Arab Emts,16064.084,50.8053
91,300,A1,Tea,Ton,11453,Yemen Republc,40.0,0.047192
92,301,A1,Tea,Ton,12075,Taiwan,3029.893,5.785112
93,302,A1,Tea,Ton,12195,Israel,627.977,5.371089
94,303,A1,Tea,Ton,12215,Korea Dp Rp,6.367,0.058434
95,304,A1,Tea,Ton,12247,Maldives,4.022,0.031698
96,305,A1,Tea,Ton,13019,Austria,2.032,0.01544
97,306,A1,Tea,Ton,13033,Belgium,573.189,1.225937
98,307,A1,Tea,Ton,13101,Denmark,16.874,0.231065
99,308,A1,Tea,Ton,13125,Finland,720.204,2.154781
100,309,A1,Tea,Ton,13129,France,238.451,1.958982
101,310,A1,Tea,Ton,13147,Germany,11461.527,40.03254
102,311,A1,Tea,Ton,13155,Greece,19.083,0.041771
103,312,A1,Tea,Ton,13193,Ireland,1349.041,8.897491
